    A,    B, TOTAL_VOL,SOV_GU_VOL,    SOV_MLF_VOL,    SOV_MLT_VOL,HOV_GU_VOL,    HOV_MLF_VOL,    HOV_MLT_VOL,TRK_GU_VOL,TRK_ML_VOL,      CSPD,  VC_RATIO,      TOLL,      TIME
  157,  285,      1574,      1568,              0,              6,         0,         0,              0,              0,         0,     59.99,      0.27,         0,       0.334081
  204,  232,      1287,      1286,              0,              1,         0,         0,              0,              0,         0,     59.99,      0.22,         0,       0.509699
  233,  205,      2545,      2539,              0,              7,         0,         0,              0,              0,         0,     59.97,      0.44,         0,       0.536957
  249,  251,        29,         0,              0,             29,         0,         0,              0,              0,         0,     64.99,      0.02,      0.23,       0.482953
  252,  250,        56,         0,              0,             56,         0,         0,              0,              0,         0,     64.99,      0.03,      0.23,       0.492477
  277,  283,        29,         0,              0,             29,         0,         0,              0,              0,         0,     64.99,      0.02,      0.23,       0.301534
  284,  278,        77,         0,              0,             77,         0,         0,              0,              0,         0,     64.98,      0.04,      0.23,       0.291947
  286,  158,      3114,      3108,              0,              6,         0,         0,              0,              0,         0,     59.96,      0.54,         0,       0.307721
