;Hours,  Dir1, Dir2,  Dir3,  Dir4
1,0.00298117,0.008524743,0.00298117,0.008524743
2,0.001928141,0.004094454,0.001928141,0.004094454
3,0.001631956,0.002707586,0.001631956,0.002707586
4,0.00302175,0.002465772,0.00302175,0.002465772
5,0.008912241,0.002941704,0.008912241,0.002941704
6,0.030047341,0.006518953,0.030047341,0.006518953
7,0.098803882,0.017282127,0.098803882,0.017282127
8,0.125318655,0.031532632,0.125318655,0.031532632
9,0.111953098,0.033859549,0.111953098,0.033859549
10,0.081597053,0.031090937,0.081597053,0.031090937
11,0.057940322,0.031340204,0.057940322,0.031340204
12,0.053195702,0.037709646,0.053195702,0.037709646
13,0.050497836,0.043104608,0.050497836,0.043104608
14,0.046981562,0.048392847,0.046981562,0.048392847
15,0.045878319,0.05753267,0.045878319,0.05753267
16,0.047445393,0.085402765,0.047445393,0.085402765
17,0.050239278,0.12513235,0.050239278,0.12513235
18,0.054624624,0.136575163,0.054624624,0.136575163
19,0.044712694,0.109598841,0.044712694,0.109598841
20,0.027876126,0.060427582,0.027876126,0.060427582
21,0.019351075,0.041910297,0.019351075,0.041910297
22,0.0170337,0.037211909,0.0170337,0.037211909
23,0.011323216,0.027556685,0.011323216,0.027556685
24,0.006704868,0.017085978,0.006704868,0.017085978
