SOV,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,9137,0,0,0,4267,0,0,8333,0,12035,19374,943,1302,0,1607,0,0,1371,3707,1896,1141,9229,0
4,0,2466,0,0,1088,0,0,4782,0,1251,1883,0,0,1200,613,0,0,642,955,0,876,0,0
5,0,4562,0,0,0,0,0,1925,0,1267,1387,1023,1054,1134,723,0,0,833,45876,954,1258,0,0
6,0,10010,0,0,1931,0,0,0,0,969,4737,0,0,1674,510,0,0,966,1711,1044,0,0,0
7,1802,19901,0,0,1203,0,0,3889,0,7531,0,303,949,0,315,0,0,1284,1090,1606,1294,1442,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,17069,0,0,1299,0,0,1352,0,0,5627,1577,1315,1439,651,0,0,995,2572,1331,1196,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,1208,0,0,1714,0,0,0,0,1634,706,0,0,384,832,0,0,841,1354,0,3286,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1027,0,0,0,1568,0,0,385,0,2417,0,1112,1199,0,464,0,0,593,734,946,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,1764,0,0,808,0,0,146,0,719,568,955,846,22,0,0,0,31242,911,693,1041,0,0
17,0,1783,0,0,921,0,0,689,0,1100,1707,1113,680,323,31242,0,0,0,539,411,810,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,3907,0,0,45876,0,0,1422,0,2550,1573,356,1045,956,908,0,0,469,0,904,956,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
21,0,911,0,0,1221,0,0,0,0,522,1286,3286,0,1136,1438,0,0,1070,351,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,10213,0,0,0,0,0,0,0,0,2667,0,0,0,0,0,0,0,0,0,0,0,0
