SOV,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6360.75,0,0,0,2730.69,0,0,7202.46,0,9036.06,15797.75,0,982.05,0,129.62,0,0,2.62,1749.51,0,311.4,6699.81,0,0,0,0,0,0,0,0,0,0,0,0
4,0,491.13,0,0,1609.87,0,0,1574.15,0,1672.28,2089.59,0,0,1395.68,952.97,0,0,749.29,1612.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,2951.62,0,0,0,0,0,943.18,0,665.41,1244.8,499.63,1430.07,1505.76,46.37,0,0,58.99,45876.35,0,358.23,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,7506.79,0,0,720.32,0,0,0,0,135,3437.92,0,0,47.07,49.34,0,0,72.65,415.2,4371.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,666.04,15803.24,0,0,533.63,0,0,3877.15,0,5649.21,0,534.39,2037.81,0,329.11,0,0,1309.82,1616.27,0,417.96,629.38,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,14247.35,0,0,1073.47,0,0,1022.9,0,0,3812.98,777.86,1846.01,241.65,388.23,0,0,801.52,2275.51,0,301.86,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,191.04,0,0,436.77,0,0,0,0,471.03,800.21,0,0,168.25,102.2,0,0,91.41,512.64,605.1,3286.17,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,1496.31,0,0,373.67,0,2559.1,0,498.82,1913.89,0,287.62,0,0,449.93,919.89,0,389.54,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,134.59,0,0,21.25,0,0,351.97,0,363.73,420.19,0,753.28,156.84,0,0,0,31242.47,62.89,0,285.36,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,261.59,0,0,64.86,0,0,486.05,0,707.61,1187.63,534.1,584.15,727.76,31242.47,0,0,0,49.25,0,115.33,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,1863.93,0,0,45876.35,0,0,777.92,0,1992.57,1601.42,768.71,1434.07,566.93,52.45,0,0,22.17,0,0,525.03,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,318.03,0,0,424.05,0,0,0,0,580.83,1464.55,0,0,392.86,195.07,0,0,144.78,375.07,10.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,120.42,0,0,600.59,0,0,0,0,785.76,474.71,3286.17,0,501.8,397.09,0,0,114.03,72.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,7117.83,0,0,0,0,0,0,0,0,1061.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
