VOL_PULL,V_HR9_SOV,V_HR18_SOV,DY_TOT
1,6930.95,7512.49,86517.25
2,6364.95,7091.61,79578.64
3,5607.79,5888.14,71357.8
4,448.82,583.44,3194.81
5,252.95,393.37,1940.05
6,5119.03,5575.06,64238.68
7,4697.49,4914.01,59250.65
8,448.82,583.44,3194.81
9,252.95,393.37,1940.05
10,4230.74,4570.27,52251.1
11,4663.77,4721.19,72317.56
12,1736.32,2133.6,12803.44
13,1345.15,1975.76,10574.73
14,4470.71,4608.51,67906.71
15,5067.99,5166.98,77170.91
16,1637.71,2011.53,12019.54
17,1303.79,1918.31,10216.46
18,4613.28,4777.14,69635.48
19,5464.14,5589.82,82438.7
20,1637.71,2011.53,12019.54
21,1303.79,1918.31,10216.46
22,5314.91,5569.63,79102.51
23,5802.92,5952.38,86944.94
24,1637.71,2011.53,12019.54
25,1303.79,1918.31,10216.46
26,5749.04,6060.72,84961.23
27,6421.34,6614.16,95170.13
28,1637.71,2011.53,12019.54
29,1303.79,1918.31,10216.46
30,6357.63,6749.14,93174.28
31,7461.13,7851.84,104222.13
32,803.74,994.12,5705.01
33,782.16,1143.24,6017.02
34,7056.03,7724.14,99759.12
35,2674.45,3118.11,19851.73
36,2442.23,3264.24,18448.83
37,8438.95,9043.93,128391.07
38,7965.26,8267.91,121660.02
39,2674.45,3118.11,19851.73
40,2442.23,3264.24,18448.83
41,7586.91,8080.13,116892.8
42,6611.79,6819.52,103658.56
43,2674.45,3118.11,19851.73
44,2442.23,3264.24,18448.83
45,6729.81,7110.6,105326.11
46,5035.98,5187.11,79014.55
47,2021.76,2365.74,14856.27
48,1798.44,2408.92,13470.64
49,5237.72,5549.93,81480.88
50,2767.46,3019.39,37039.71
51,8431.86,9036.98,119601.96
52,1555.22,1650.55,13182.32
53,1514.55,1679.8,12537.25
54,8254.05,9369.78,119288.46
55,2780.39,3145.01,37520.98
56,8173.44,8565.77,126593.91
57,9184.34,9842.24,129657.25
58,1555.22,1650.55,13182.32
59,1514.55,1679.8,12537.25
60,8991.4,10203.82,129238.95
61,7124.25,7637.69,102257.45
62,1555.22,1650.55,13182.32
63,1514.55,1679.8,12537.25
64,6915.42,7855.59,101224.03
65,4645.39,4911.54,66401.8
66,915.43,1039.27,7558.66
67,852.02,1059.5,6865.34
68,4184.64,4637.58,61103.65
69,4583.79,4845.65,65582.75
70,915.43,1039.27,7558.66
71,852.02,1059.5,6865.34
72,4374.72,4852.64,63668.93
73,5271.83,5581.94,74733.84
74,915.43,1039.27,7558.66
75,852.02,1059.5,6865.34
76,5045.02,5609.43,72709.81
77,4754.1,5027.9,67847.81
78,915.43,1039.27,7558.66
79,852.02,1059.5,6865.34
80,4620.38,5129.11,66979.35
81,3874.89,4099.41,55438.17
82,788.25,890.77,6582.82
83,815.83,1014.43,6623.01
84,3753.58,4152.77,55036.02
85,3254.07,3435.07,47181
86,788.25,890.77,6582.82
87,815.83,1014.43,6623.01
88,3178.96,3502.82,47281.77
89,2769.02,2963.19,36828.51
90,2559.83,2894.13,34540.24
101,448.82,583.44,3194.81
102,252.95,393.37,1940.05
103,119.13,163.18,1136.08
104,1104.08,1587.71,8665.18
105,98.61,122.06,783.9
106,41.36,57.45,358.26
107,833.97,1017.42,6314.53
108,521.62,775.08,4199.44
109,539.46,621.92,4057.64
110,583.19,753.25,4495.24
111,652.69,752.37,4995.46
112,643.79,855.32,4978.18
113,886.58,980.59,7010.5
114,668.65,669.96,6171.83
115,398.55,362.35,3833.85
116,1116,1317.45,8703.39
118,1081.95,1164.46,14031.31
119,1106.1,1186.67,13535.89
120,1721.74,1775.74,19654.97
121,1768.63,1806.97,19207.8
122,1102.12,1163.79,12991.45
123,1127.93,1242.28,13357.42
124,1229.3,1312.29,13967.29
125,1164.12,1287.35,13599.76
126,788.25,890.77,6582.82
127,815.83,1014.43,6623.01
128,1971.62,2311.99,14189.28
129,1672.33,2266.18,11768.68
