  A,  B,  DIRECTION, SEGMENT ID
  12561.00,  21411.00,      2.00,      8.00
  12617.00,  18473.00,      1.00,      9.00
  14088.00,  17025.00,      3.00,     17.00
  17027.00,  17031.00,      4.00,     17.00
  17057.00, 100295.00,      3.00,     16.00
  17087.00,  17091.00,      4.00,     15.00
  17089.00,  17085.00,      3.00,     15.00
  17371.00,  18475.00,      3.00,      9.00
  18469.00,  17373.00,      4.00,      9.00
  18471.00,  12613.00,      2.00,      9.00
  20049.00,  21672.00,      4.00,      4.00
  20070.00,  21634.00,      4.00,      5.00
  20584.00,  21307.00,      4.00,     14.00
  20778.00,  20780.00,      1.00,     18.00
  20779.00,  20777.00,      2.00,     18.00
  20811.00,  22214.00,      4.00,     12.00
  21309.00,  20583.00,      3.00,     14.00
  21354.00,  21668.00,      2.00,      4.00
  21414.00,  12565.00,      1.00,      8.00
  21434.00,  21438.00,      2.00,      7.00
  21463.00,  26005.00,      3.00,      8.00
  21492.00,  26027.00,      3.00,      7.00
  21493.00,  21495.00,      2.00,     20.00
  21560.00,  21568.00,      2.00,      6.00
  21564.00,  26048.00,      4.00,      6.00
  21570.00,  21562.00,      1.00,      6.00
  21624.00,  21631.00,      2.00,      5.00
  21632.00,  21626.00,      1.00,      5.00
  21636.00,  20071.00,      3.00,      5.00
  21670.00,  20275.00,      1.00,      4.00
  21674.00,  20042.00,      3.00,      4.00
  21703.00,  21710.00,      4.00,      3.00
  21772.00,  21764.00,      1.00,      3.00
  21778.00,  21768.00,      3.00,      3.00
  22218.00,  20814.00,      3.00,     12.00
  23230.00,  26222.00,      4.00,     13.00
  26004.00,  21462.00,      4.00,      8.00
  26010.00,  21470.00,      4.00,      7.00
  26028.00,  21497.00,      4.00,     20.00
  26049.00,  21566.00,      3.00,      6.00
  26223.00,  23228.00,      3.00,     13.00
  26634.00,  26642.00,      3.00,     18.00
  26641.00,  26633.00,      4.00,     18.00
  26926.00,  26928.00,      4.00,     11.00
  26929.00,  26927.00,      3.00,     11.00
  28066.00,  30379.00,      3.00,      1.00
  28126.00,  30343.00,      3.00,      2.00
  28127.00,  30332.00,      4.00,      2.00
  28916.00,  28922.00,      4.00,     10.00
  29048.00,  40052.00,      3.00,     10.00
  30351.00,  30358.00,      4.00,      1.00
  31317.00,  31297.00,      2.00,      1.00
  31427.00,  31429.00,      1.00,      2.00
  31537.00, 100328.00,      2.00,      2.00
 100038.00, 100040.00,      2.00,     17.00
 100041.00, 100039.00,      1.00,     17.00
 100062.00, 100064.00,      2.00,     16.00
 100065.00, 100063.00,      1.00,     16.00
 100095.00, 100093.00,      1.00,     15.00
 100135.00, 100137.00,      2.00,     14.00
 100138.00, 100136.00,      1.00,     14.00
 100155.00, 100157.00,      2.00,     13.00
 100158.00, 100156.00,      1.00,     13.00
 100190.00, 100192.00,      2.00,     12.00
 100193.00, 100191.00,      1.00,     12.00
 100220.00, 100222.00,      2.00,     11.00
 100223.00, 100221.00,      1.00,     11.00
 100274.00, 100276.00,      2.00,     10.00
 100278.00, 100277.00,      1.00,     10.00
 100296.00,  17059.00,      4.00,     16.00
 100303.00, 100094.00,      2.00,     15.00
 100326.00,  31167.00,      1.00,      1.00
 100329.00,  21486.00,      1.00,      7.00
 100340.00,  21706.00,      2.00,      3.00
