  A,  B, TOLLSEGNUM , TOLL_POLICY, TOLL, DIRECTION
  12561.00,  21411.00,      8.00,      1.00,         0,      2.00
  12617.00,  18473.00,      9.00,      1.00,         0,      1.00
  18471.00,  12613.00,      9.00,      1.00,         0,      2.00
  20778.00,  20780.00,     18.00,      1.00,         0,      1.00
  20779.00,  20777.00,     18.00,      1.00,         0,      2.00
  21354.00,  21668.00,      4.00,      1.00,         0,      2.00
  21414.00,  12565.00,      8.00,      1.00,         0,      1.00
  21434.00,  21438.00,      7.00,      1.00,         0,      2.00
  21493.00,  21495.00,     20.00,      1.00,         0,      2.00
  21560.00,  21568.00,      6.00,      1.00,         0,      2.00
  21570.00,  21562.00,      6.00,      1.00,         0,      1.00
  21624.00,  21631.00,      5.00,      1.00,         0,      2.00
  21632.00,  21626.00,      5.00,      1.00,         0,      1.00
  21670.00,  20275.00,      4.00,      1.00,         0,      1.00
  21772.00,  21764.00,      3.00,      1.00,         0,      1.00
  31317.00,  31297.00,      1.00,      1.00,         0,      2.00
  31427.00,  31429.00,      2.00,      1.00,         0,      1.00
  31537.00, 100328.00,      2.00,      1.00,         0,      2.00
 100038.00, 100040.00,     17.00,      1.00,         0,      2.00
 100041.00, 100039.00,     17.00,      1.00,         0,      1.00
 100062.00, 100064.00,     16.00,      1.00,         0,      2.00
 100065.00, 100063.00,     16.00,      1.00,         0,      1.00
 100095.00, 100093.00,     15.00,      1.00,         0,      1.00
 100135.00, 100137.00,     14.00,      1.00,         0,      2.00
 100138.00, 100136.00,     14.00,      1.00,         0,      1.00
 100155.00, 100157.00,     13.00,      1.00,         0,      2.00
 100158.00, 100156.00,     13.00,      1.00,         0,      1.00
 100190.00, 100192.00,     12.00,      1.00,         0,      2.00
 100193.00, 100191.00,     12.00,      1.00,         0,      1.00
 100220.00, 100222.00,     11.00,      1.00,         0,      2.00
 100223.00, 100221.00,     11.00,      1.00,         0,      1.00
 100274.00, 100276.00,     10.00,      1.00,         0,      2.00
 100278.00, 100277.00,     10.00,      1.00,         0,      1.00
 100303.00, 100094.00,     15.00,      1.00,         0,      2.00
 100326.00,  31167.00,      1.00,      1.00,         0,      1.00
 100329.00,  21486.00,      7.00,      1.00,         0,      1.00
 100340.00,  21706.00,      3.00,      1.00,         0,      2.00
